id,created_at,updated_at,deleted_at,name,type,quanto_multiplier,ref_discount_rate,order_price_deviate,maintenance_rate,mark_type,last_price,mark_price,index_price,funding_rate_indicative,mark_price_round,funding_offset,in_delisting,risk_limit_base,interest_rate,order_price_round,order_size_min,ref_rebate_rate,funding_interval,risk_limit_step,leverage_min,leverage_max,risk_limit_max,maker_fee_rate,taker_fee_rate,funding_rate,order_size_max,funding_next_apply,short_users,config_change_time,trade_size,position_size,long_users,funding_impact_value,orders_limit,trade_id,orderbook_id,enable_bonus,enable_credit,create_time,funding_cap_ratio
22,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,INJ_USDT,direct,0.1,0,0.5,0.025,index,41.703,41.703,41.6528,0.000183,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000183,1000000,1709107200,149,1702350183,1729155069,830972,361,5000,100,11103112,2539611066,t,t,0,0.75
23,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,CAKE_USDT,direct,0.1,0,0.5,0.025,index,3.176,3.178,3.1776,0.000573,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000573,10000000,1709107200,98,1704262440,1000393041,1710453,197,5000,100,4014725,549297876,t,t,0,0.75
24,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,CEL_USDT,direct,1,0,0.1,0.025,index,0.2138,0.2138,0.21296,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,100000000,1709107200,46,1689064559,985640045,204069,33,5000,30,5351699,1351717594,t,t,0,0.75
25,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ONE_USDT,direct,10,0,0.1,0.025,index,0.02256,0.02262,0.022622,0.00012,0.00001,0,f,15000,0.0003,0.00001,1,0.2,28800,15000,1,20,60000,-0.000152,0.00075,0.00012,10000000,1709107200,63,1702177383,547303674,278972,114,5000,50,4840830,1227912558,t,t,0,0.75
26,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BEAMX_USDT,direct,100,0,0.3,0.01,index,0.035264,0.035264,0.035204,0.000128,0.000001,0,f,500000,0.0003,0.000001,1,0.2,14400,500000,1,50,5000000,-0.000152,0.00075,0.000128,1000000,1709092800,69,1702177382,89252879,91816,100,5000,100,1120360,471866001,t,t,1700647495,2
27,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,KLAY_USDT,direct,1,0,0.1,0.1,index,0.2321,0.2318,0.231544,0.0001,0.0001,0,f,10000,0.0003,0.0001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,10000000,1709107200,51,1703837153,464065040,244819,90,5000,50,2529648,452786057,f,t,0,0.2
28,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ETH_USDT,direct,0.01,0,0.5,0.005,index,3243.6,3244.7,3242.15,0.00023,0.01,0,f,1000000,0.0003,0.05,1,0.2,28800,1000000,1,100,30000000,-0.00013,0.00075,0.00023,1000000,1709107200,2305,1701712441,44565105790,17754534,3140,20000,100,272024940,48099991887,t,t,0,0.75
29,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,1CAT_USDT,direct,100,0,0.5,0.025,index,0.008051,0.008044,0.00801,0.000807,0.000001,0,f,500000,0.0003,0.000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000807,1000000,1709107200,115,1703726440,202349062,727816,248,5000,100,1577855,915432911,t,t,1703726440,0.75
30,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,RON_USDT,direct,1,0,0.1,0.01,index,3.0004,3.0004,2.9992,0.00005,0.0001,0,f,10000,0.0003,0.0001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00005,1000000,1709092800,32,1707141496,25002909,30290,67,5000,50,2812073,112402842,t,t,0,2
31,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,COTI_USDT,direct,1,0,0.3,0.025,index,0.2206,0.2204,0.220084,0.000215,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000215,10000000,1709107200,262,1702091640,1673177168,2261992,177,5000,50,6236771,1795340237,t,t,0,0.75
32,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,DMAIL_USDT,direct,1,0,0.5,0.01,index,0.652,0.648,0.6452,0.00126,0.0001,0,f,10000,0.0003,0.0001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00126,1000000,1709092800,82,1706716523,108471014,296576,146,5000,100,571745,125052934,t,t,1706616698,2
33,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,MANA_USDT,direct,0.1,0,0.3,0.025,index,0.5689,0.5688,0.568334,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,100000000,1709107200,104,1701140583,18390486207,8363845,250,5000,100,8988807,5901456465,t,t,0,0.75
34,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,HIFI_USDT,direct,1,0,0.3,0.025,index,0.6773,0.6763,0.67527,0.000148,0.0001,0,f,500000,0.0003,0.0001,1,0.2,14400,500000,1,20,5000000,-0.000152,0.00075,0.000148,100000000,1709092800,81,1697096667,823175117,151323,92,5000,100,3977996,1970803778,f,t,1682054384,0.75
35,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,OM_USDT,direct,1,0,0.5,0.01,index,0.244,0.244,0.24349,0.00005,0.0001,0,f,10000,0.0003,0.0001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00005,1000000,1709092800,42,1707804480,25304730,301676,91,5000,100,114031,35762831,t,t,1707804471,2
36,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,MOVR_USDT,direct,0.01,0,0.5,0.05,index,23.501,23.486,23.4369,0.000356,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,10,5000000,-0.000152,0.00075,0.000356,10000000,1709107200,90,1703838563,1575243556,908553,144,5000,50,5701831,935302181,f,t,0,0.75
37,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,SSV_USDT,direct,0.1,0,0.3,0.025,index,34.135,34.135,34.091,0.0001,0.005,0,f,500000,0.0003,0.005,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,83,1697598185,138064193,65166,88,5000,100,2545471,892403084,t,t,0,0.75
38,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,OMG_USDT,direct,1,0,0.3,0.025,index,0.8105,0.8105,0.8087,0.000125,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000125,1000000,1709107200,62,1701745382,245924851,237826,162,5000,100,2707312,3466298865,t,t,0,0.75
39,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,UNI_USDT,direct,1,0,0.5,0.025,index,11.173,11.173,11.17,0.000294,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000294,1000000,1709107200,194,1701831782,492113930,191315,357,5000,100,12853148,6339667529,t,t,0,0.75
40,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,POGAI_USDT,direct,10000,0,0.5,0.1667,index,0.0000853,0.00008483,0.00008419,0.000582,0.00000001,0,f,5000,0.0003,0.00000001,1,0.2,28800,5000,1,3,50000,-0.000152,0.00075,0.000582,1000000,1709107200,199,1703837057,2737955383,1269236,130,5000,100,11706381,1770585079,t,t,1683271478,0.75
41,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ARKM_USDT,direct,1,0,0.3,0.025,index,1.5207,1.5203,1.5162,0.001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.001,1000000,1709107200,165,1698289385,383475466,2197308,161,5000,100,1855997,537965310,t,t,1689684723,0.75
42,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,AAVE_USDT,direct,0.01,0,0.3,0.025,index,104.58,104.57,104.4352,0.000432,0.01,0,f,500000,0.0003,0.01,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000432,1000000,1709107200,103,1697684585,1164882983,676354,188,5000,100,5910445,5652236335,t,t,0,0.75
43,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,LTC_USDT,direct,0.1,0,0.5,0.01,index,74.54,74.55,74.48,0.000438,0.01,0,f,500000,0.0003,0.01,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.000438,1000000,1709107200,200,1697166184,2024960544,464342,653,5000,100,30174143,8580566203,t,t,0,0.75
44,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BOND_USDT,direct,1,0,0.3,0.025,index,3.811,3.807,3.7988,0.00026,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.00026,1000000,1709107200,60,1702436040,54271336,61964,130,5000,50,1375525,338415734,t,t,1697377840,0.75
45,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,XVG_USDT,direct,100,0,0.1,0.025,index,0.006477,0.006477,0.006468,0.000509,0.000001,0,f,500000,0.0003,0.000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000509,1000000,1709107200,130,1694574184,393115499,454217,92,5000,50,1715948,733355245,t,t,1688536826,0.75
46,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,SPA_USDT,direct,10,0,0.5,0.01,index,0.01204,0.01195,0.011947,0.00005,0.00001,0,f,10000,0.0003,0.00001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00005,1000000,1709092800,52,1707181918,299217978,507257,58,5000,100,431534,49608193,t,t,1707181780,2
47,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,DENT_USDT,direct,1000,0,0.1,0.025,index,0.0017186,0.0017161,0.00171236,0.0001,0.0000001,0,f,500000,0.0003,0.0000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,47,1682046191,97795771,17067,61,5000,30,2103111,382746016,f,t,0,0.75
48,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ACE_USDT,direct,0.1,0,0.5,0.01,index,11.922,11.92,11.9014,0.00028,0.001,0,f,500000,0.0003,0.001,1,0.2,14400,500000,1,50,5000000,-0.000152,0.00075,0.00028,1000000,1709092800,84,1703643388,320536858,451956,149,5000,100,1598477,367141429,t,t,1702910847,2
49,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BIGTIME_USDT,direct,100,0,0.5,0.025,index,0.4446,0.4446,0.44445,0.000312,0.0001,0,f,15000,0.0003,0.0001,1,0.2,28800,15000,1,20,60000,-0.000152,0.00075,0.000312,1000000,1709107200,101,1701572582,43163840,26278,219,5000,100,5667784,1472387331,t,t,1697016898,0.75
50,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,APE_USDT,direct,1,0,0.5,0.01,index,1.955,1.954,1.9519,0.000492,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.000492,1000000,1709107200,147,1702213560,1343093057,617366,430,5000,100,18101988,6346635371,t,t,0,0.75
51,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,RAY_USDT,direct,0.1,0,0.2,0.1,index,0.965,0.965,0.9641,0.0001,0.001,0,f,10000,0.0003,0.001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,100000000,1709107200,88,1703837155,4387589976,1930350,178,5000,100,7254676,602850331,t,t,0,0.75
52,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ALPHA_USDT,direct,1,0,0.5,0.025,index,0.145,0.1449,0.1446,0.000331,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000331,10000000,1709107200,78,1702818001,1584027348,681931,104,5000,30,5415612,1730864721,f,t,0,0.75
53,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BNB_USDT,direct,0.001,0,0.5,0.01,index,395.8,395.95,396.3728,-0.000588,0.05,0,f,500000,0.0003,0.05,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,-0.000588,10000000,1709107200,301,1701658983,27829986386,6424077,394,5000,100,25318045,9262981620,t,t,0,0.75
54,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ZTX_USDT,direct,100,0,0.3,0.05,index,0.02992,0.02992,0.02962,0.002502,0.00001,0,f,15000,0.0003,0.00001,1,0.2,28800,15000,1,10,60000,-0.000152,0.00075,0.002502,1000000,1709107200,72,1702004582,21171919,38357,48,5000,100,549791,340654509,t,t,1697452796,0.75
55,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,KAS_USDT,direct,100,0,0.5,0.025,index,0.17045,0.17045,0.170047,0.000925,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000925,1000000,1709107200,208,1699344008,203404592,344444,456,5000,100,8830094,1168419284,t,t,1686888330,0.75
56,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,STMX_USDT,direct,100,0,0.1,0.025,index,0.008232,0.008232,0.00823,0.000121,0.000001,0,f,15000,0.0003,0.000001,1,0.2,14400,15000,1,20,60000,-0.000152,0.00075,0.000121,1000000,1709092800,47,1702350184,45437945,32530,43,5000,50,1647488,283910843,t,t,0,0.75
57,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,SWEAT_USDT,direct,100,0,0.5,0.025,index,0.010343,0.010343,0.010296,0.0001,0.000001,0,f,500000,0.0003,0.000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,46,1704278047,2397556,52721,28,5000,100,30043,30996637,t,t,1704278047,0.75
58,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,XCN_USDT,direct,10,0,0.1,0.1,index,0.001976,0.001976,0.001972,0.0001,0.0000001,0,f,10000,0.0003,0.0000001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,100000000,1709107200,47,1703837157,6307488321,3822525,96,5000,30,3022352,661528472,t,f,0,0.75
59,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,TON_USDT,direct,0.1,0,0.5,0.025,index,2.1753,2.1716,2.1706,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,10000000,1709107200,29,1702094460,657972370,4365290,119,5000,100,6148617,614674930,f,t,0,0.75
60,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,OKB_USDT,direct,0.1,0,0.1,0.1,index,51.91,51.63,51.324,0.0001,0.01,0,f,10000,0.0003,0.01,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,1000000,1709107200,43,1703837159,194584043,4804,52,5000,30,2098576,441589377,t,t,0,0.75
61,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,OGN_USDT,direct,1,0,0.3,0.025,index,0.185,0.1854,0.185442,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,10000000,1709107200,56,1702004583,4435513565,512532,77,5000,100,4235123,2416509372,f,t,0,0.75
62,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,TLM_USDT,direct,1,0,0.1,0.025,index,0.02103,0.02103,0.020996,0.0001,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,50,1681786992,3830274721,4932921,77,5000,30,7966188,1915692057,f,t,0,0.75
63,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,DOT_USDT,direct,1,0,0.5,0.01,index,8.338,8.337,8.3267,0.000353,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.000353,1000000,1709107200,135,1702350841,758764790,278920,525,5000,100,17037624,8868320898,t,t,0,0.75
64,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,NFP_USDT,direct,1,0,0.5,0.01,index,0.8088,0.809,0.809008,0.000145,0.0001,0,f,500000,0.0003,0.0001,1,0.2,14400,500000,1,50,5000000,-0.000152,0.00075,0.000145,1000000,1709092800,72,1703676250,262395765,433958,168,5000,100,1022239,194591953,t,t,1703676228,2
65,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,FLOKI_USDT,direct,10000,0,0.3,0.025,index,0.00005347,0.00005347,0.000053325,0.000427,0.00000001,0,f,500000,0.0003,0.00000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000427,10000000,1709107200,182,1698721384,4216057582,2341660,346,5000,100,7972867,1189942355,t,t,0,0.75
66,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ADA_USDT,direct,10,0,0.5,0.01,index,0.6211,0.6215,0.62135,0.000402,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.000402,1000000,1709107200,146,1701313382,746667596,745093,462,5000,100,11605410,7914373402,t,t,0,0.75
67,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ANKR_USDT,direct,10,0,0.5,0.1,index,0.03399,0.03399,0.033987,0.0001,0.00001,0,f,10000,0.0003,0.00001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,10000000,1709107200,44,1703837161,581760474,200767,104,5000,100,5177025,2325413204,t,t,0,0.75
68,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ORDI_USDT,direct,0.1,0,0.5,0.025,index,67.704,67.656,67.5211,0.000811,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000811,1000000,1709107200,285,1699430308,3059829554,796658,666,5000,100,27073801,5526885482,t,t,1683518617,0.75
69,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ANT_USDT,direct,0.1,0,0.3,0.025,index,8.21,8.222,8.2218,0.0001,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,72,1702091582,803145055,83577,43,5000,50,5963725,1477234546,t,t,0,0.75
70,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,TRX_USDT,direct,100,0,0.3,0.025,index,0.14336,0.14336,0.143165,0.00072,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.00072,1000000,1709107200,99,1695783784,284109843,61071,169,5000,100,4560482,3894603419,t,t,0,0.75
